x9546321555	742-6Z3	300	10.14	47
5612971340	924-YUT	8	23.00	51
3051234567	9L3-11T	47	50.12	200
7542346622	453-TTT	92	25.25	110
3054432762	213-ABC	15	105.02	111
9544321011	321-XMZ	112	32.41	92
8776219988	444-SSS	100	12.12	86
9042224556	290-P23	297	9.62	500
7877176590	23Z-00Q	32	9.62	201
5617278899	893-42T	642	0.81	72
9546321555	008-LL5	90	45.80	18
5612971340	452-XLY	42	99.99	503
3051234567	742-6Z3	14	10.14	47
7542346622	742-6Z4	13	66.48	3
3054432762	742-6Z5	209	0.77	2
9544321011	742-6Z6	108	1.17	1
8776219988	213-ABC	67	105.02	111
9042224556	321-XMZ	500	32.41	92
7877176590	444-SSS	43	12.12	86
5617278899	290-P23	16	9.92	500
8776219988	23Z-00Q	82	9.62	201
9042224556	23Z-00Q	87	9.62	201
7877176590	23Z-00Q	445	9.62	201
